abandon	-2.4
abandoned	-2.5
abandoner	-2.4
abandoners	-2.4
abandoning	-2.1
abandonment	-2.9
abandonments	-2.2
abandons	-1.8
abducted	-2.8
abduction	-3.3
abductions	-2.5
abhor	-2.5
abhorred	-2.9
abhorrent	-3.6
abhors	-3.4
abilities	0.5
ability	0.8
aboard	-0.4
absentee	-1.6
absentees	-1.3
absolve	0.7
absolved	1.0
absolves	0.8
absolving	1.1
abuse	-3.7
abused	-2.8
abuser	-3.1
abusers	-3.1
abuses	-3.1
abusing	-2.5
abusive	-3.7
abusively	-3.3
abusiveness	-3.0
abusivenesses	-3.5
accept	1.1
acceptabilities	1.1
acceptability	0.6000000000000001
acceptable	0.8
acceptableness	0.8
acceptably	1.0
acceptance	1.5
acceptances	1.2
acceptant	1.1
acceptation	0.8
acceptations	0.4
accepted	0.6000000000000001
accepting	1.1
accepts	0.8
accident	-2.6
accidental	-0.8
accidentally	-1.9
accidents	-1.8
accomplish	1.3
accomplished	1.4
accomplishes	1.2
accusation	-1.5
accusations	-1.8
accuse	-1.3
accused	-1.7
accuses	-1.9
accusing	-1.2
ache	-2.1
ached	-2.1
aches	-1.5
achievable	0.8
aching	-2.7
acquit	0.30000000000000004
acquits	-0.4
acquitted	0.5
acquitting	0.8
acrimonious	-2.2
active	1.2
actively	0.8
activeness	0.09999999999999998
activenesses	0.30000000000000004
actives	0.6000000000000001
adequate	0.4
admirability	1.9
admirable	2.1
admirableness	1.7000000000000002
admirably	2.0
admiral	0.8
admirals	1.0
admiralties	1.1
admiralty	0.7
admiration	2.0
admirations	1.1
admire	1.6
admired	1.7999999999999998
admirer	1.3
admirers	1.2
admires	1.0
admiring	1.1
admiringly	1.7999999999999998
admit	0.30000000000000004
admits	0.7
admitted	-0.09999999999999998
admonished	-2.4
adopt	0.19999999999999996
adopts	0.19999999999999996
adorability	1.7000000000000002
adorable	1.7000000000000002
adorableness	2.0
adorably	1.6
adoration	2.4
adorations	1.7000000000000002
adore	2.1
adored	1.3
adorer	1.2
adorers	1.6
adores	1.1
adoring	2.1
adoringly	1.9
adorn	0.4
adorned	0.30000000000000004
adorner	0.8
adorners	0.4
adorning	0.5
adornment	0.8
adornments	0.30000000000000004
adorns	0.0
advanced	0.5
advantage	0.5
advantaged	0.8999999999999999
advantageous	1.0
advantageously	1.4
advantageousness	1.1
advantages	1.0
advantaging	1.1
adventure	0.8
adventured	0.8
adventurer	0.7
adventurers	0.4
adventures	0.8999999999999999
adventuresome	1.2
adventuresomeness	0.8
adventuress	0.30000000000000004
adventuresses	0.8999999999999999
adventuring	1.7999999999999998
adventurism	1.0
adventurist	0.8999999999999999
adventuristic	1.2
adventurists	0.7
adventurous	0.8999999999999999
adventurously	0.8
adventurousness	1.3
adversarial	-2.0
adversaries	-1.5
adversary	-1.3
adversative	-1.7
adversatively	-0.6
adversatives	-1.5
adverse	-2.0
adversely	-1.3
adverseness	-1.1
adversities	-2.0
adversity	-2.3
affected	-1.1
affection	1.9
affectional	1.4
affectionally	1.0
affectionate	1.4
affectionately	1.7000000000000002
affectioned	1.3
affectionless	-2.5
affections	1.0
afflicted	-2.0
affronted	-0.3
aggravate	-3.0
aggravated	-2.4
aggravates	-2.4
aggravating	-1.7
aggress	-1.8
aggressed	-1.9
aggresses	-1.0
aggressing	-1.1
aggression	-1.7
aggressions	-1.8
aggressive	-1.1
aggressively	-1.8
aggressiveness	-2.3
aggressivities	-1.9
aggressivity	-1.1
aggressor	-1.3
aggressors	-1.4
aghast	-2.4
agitate	-2.2
agitated	-2.5
agitatedly	-2.1
agitates	-1.9
agitating	-2.3
agitation	-1.5
agitational	-1.7
agitations	-1.8
agitative	-1.8
agitato	-0.6
agitator	-1.9
agitators	-2.6
agog	1.4
agonise	-2.6
agonised	-2.8
agonises	-2.9
agonising	-2.0
agonize	-2.8
agonized	-2.7
agonizes	-2.8
agonizing	-3.2
agonizingly	-2.8
agony	-2.3
agree	1.0
agreeability	1.4
agreeable	1.3
agreeableness	1.3
agreeablenesses	0.8
agreeably	1.1
agreed	0.6000000000000001
agreeing	0.8999999999999999
agreement	1.7000000000000002
agreements	0.6000000000000001
agrees	0.30000000000000004
alarm	-1.9
alarmed	-1.9
alarming	-1.0
alarmingly	-3.1
alarmism	-0.8
alarmists	-1.6
alarms	-1.6
alas	-1.6
alert	0.7
alienation	-1.6
alive	1.1
allergic	-1.7
allow	0.4
alone	-1.5
alright	0.5
amaze	2.0
amazed	1.7000000000000002
amazedly	1.6
amazement	2.0
amazements	1.7000000000000002
amazes	1.7000000000000002
amazing	2.3
amazon	0.19999999999999996
amazonite	-0.3
amazons	-0.6
amazonstone	0.5
amazonstones	-0.3
ambitious	1.6
ambivalent	0.0
amor	2.5
amoral	-2.1
amoralism	-1.2
amoralisms	-1.2
amoralities	-1.7
amorality	-2.0
amorally	-1.5
amoretti	-0.3
amoretto	0.09999999999999998
amorettos	-0.2
amorino	0.7
amorist	1.1
amoristic	0.5
amorists	-0.4
amoroso	1.7999999999999998
amorous	1.3
amorously	1.7999999999999998
amorousness	1.5
amorphous	-0.7
amorphously	-0.4
amorphousness	-0.2
amort	-2.6
amortise	0.0
amortised	-0.7
amortises	-0.4
amortizable	0.0
amortization	0.09999999999999998
amortizations	-0.3
amortize	-0.6
amortized	0.30000000000000004
amortizes	0.09999999999999998
amortizing	0.30000000000000004
amusable	0.19999999999999996
amuse	1.2
amused	1.3
amusedly	1.7000000000000002
amusement	1.0
amusements	1.0
